시간,주가,뉴스 제목
2024-05-29 09:00:00,69911,"삼성전자, 새로운 AI 기술 발표"
2024-05-29 09:01:00,70063,"삼성전자, 새로운 AI 기술 발표"
2024-05-29 09:02:00,69927,"삼성전자, 지속 가능한 에너지 솔루션 개발"
2024-05-29 09:03:00,69959,"삼성전자, 새로운 AI 기술 발표"
2024-05-29 09:04:00,69988,"삼성, 차세대 스마트폰 출시 예정"
2024-05-29 09:05:00,69913,"삼성전자, 지속 가능한 에너지 솔루션 개발"
2024-05-29 09:06:00,69939,"삼성, 새로운 스마트홈 기기 출시"
2024-05-29 09:07:00,70060,"삼성, 새로운 파트너십 체결"
2024-05-29 09:08:00,70080,"삼성전자, 1분기 실적 발표"
2024-05-29 09:09:00,69998,"삼성전자, 새로운 AI 기술 발표"
2024-05-29 09:10:00,70013,"삼성, 새로운 스마트홈 기기 출시"
2024-05-29 09:11:00,69937,"삼성, 새로운 스마트홈 기기 출시"
2024-05-29 09:12:00,69939,"삼성전자, 글로벌 시장에서의 성과"
2024-05-29 09:13:00,69966,"삼성, 차세대 스마트폰 출시 예정"
2024-05-29 09:14:00,69907,"삼성전자, 환경 보호를 위한 노력"
2024-05-29 09:15:00,69984,"삼성전자, 환경 보호를 위한 노력"
2024-05-29 09:16:00,69952,"삼성, 새로운 반도체 기술 발표"
2024-05-29 09:17:00,70084,"삼성전자, 글로벌 시장에서의 성과"
2024-05-29 09:18:00,69970,"삼성전자, 환경 보호를 위한 노력"
2024-05-29 09:19:00,69964,"삼성전자, 글로벌 시장에서의 성과"
2024-05-29 09:20:00,69961,"삼성, 새로운 반도체 기술 발표"
2024-05-29 09:21:00,70051,"삼성, 새로운 파트너십 체결"
2024-05-29 09:22:00,70029,"삼성전자, 새로운 AI 기술 발표"
2024-05-29 09:23:00,69953,"삼성, 새로운 스마트홈 기기 출시"
2024-05-29 09:24:00,69983,"삼성, 차세대 스마트폰 출시 예정"
2024-05-29 09:25:00,70000,"삼성, 새로운 반도체 기술 발표"
2024-05-29 09:26:00,69955,"삼성, 차세대 스마트폰 출시 예정"
2024-05-29 09:27:00,69964,"삼성전자, 새로운 AI 기술 발표"
2024-05-29 09:28:00,70010,"삼성전자, 환경 보호를 위한 노력"
2024-05-29 09:29:00,70072,"삼성전자, 환경 보호를 위한 노력"
2024-05-29 09:30:00,70007,"삼성전자, 1분기 실적 발표"
2024-05-29 09:31:00,69997,"삼성, 새로운 반도체 기술 발표"
2024-05-29 09:32:00,69971,"삼성전자, 1분기 실적 발표"
2024-05-29 09:33:00,70020,"삼성, 새로운 스마트홈 기기 출시"
2024-05-29 09:34:00,70046,"삼성, 차세대 스마트폰 출시 예정"
2024-05-29 09:35:00,69909,"삼성, 차세대 스마트폰 출시 예정"
2024-05-29 09:36:00,70076,"삼성전자, 글로벌 시장에서의 성과"
2024-05-29 09:37:00,69905,"삼성전자, 환경 보호를 위한 노력"
2024-05-29 09:38:00,70036,"삼성, 새로운 파트너십 체결"
2024-05-29 09:39:00,70028,"삼성, 새로운 반도체 기술 발표"
2024-05-29 09:40:00,70020,"삼성전자, 새로운 AI 기술 발표"
2024-05-29 09:41:00,70001,"K뱅크, 삼성과 협업하여 금융상품 출시"
2024-05-29 09:42:00,69915,"삼성, 새로운 파트너십 체결"
2024-05-29 09:43:00,69989,"삼성, 새로운 스마트홈 기기 출시"
2024-05-29 09:44:00,70040,"K뱅크, 삼성과 협업하여 금융상품 출시"
2024-05-29 09:45:00,69939,"삼성전자, 글로벌 시장에서의 성과"
2024-05-29 09:46:00,70074,"삼성, 새로운 파트너십 체결"
2024-05-29 09:47:00,69900,"삼성, 새로운 파트너십 체결"
2024-05-29 09:48:00,69932,"삼성전자, 환경 보호를 위한 노력"
2024-05-29 09:49:00,70008,"삼성, 차세대 스마트폰 출시 예정"
2024-05-29 09:50:00,69941,"삼성전자, 글로벌 시장에서의 성과"
2024-05-29 09:51:00,69936,"삼성, 새로운 파트너십 체결"
2024-05-29 09:52:00,69902,"삼성전자, 지속 가능한 에너지 솔루션 개발"
2024-05-29 09:53:00,69957,"삼성, 새로운 파트너십 체결"
2024-05-29 09:54:00,70001,"삼성전자, 글로벌 시장에서의 성과"
2024-05-29 09:55:00,69952,"삼성, 차세대 스마트폰 출시 예정"
2024-05-29 09:56:00,69920,"삼성전자, 환경 보호를 위한 노력"
2024-05-29 09:57:00,69930,"삼성전자, 글로벌 시장에서의 성과"
2024-05-29 09:58:00,70077,"K뱅크, 삼성과 협업하여 금융상품 출시"
2024-05-29 09:59:00,70094,"삼성전자, 새로운 AI 기술 발표"
2024-05-29 10:00:00,70054,"삼성전자, 1분기 실적 발표"
2024-05-29 10:01:00,70039,"삼성전자, 글로벌 시장에서의 성과"
2024-05-29 10:02:00,70041,"삼성, 새로운 스마트홈 기기 출시"
2024-05-29 10:03:00,70050,"K뱅크, 삼성과 협업하여 금융상품 출시"
2024-05-29 10:04:00,70082,"삼성전자, 환경 보호를 위한 노력"
2024-05-29 10:05:00,69963,"삼성전자, 지속 가능한 에너지 솔루션 개발"
2024-05-29 10:06:00,69947,"K뱅크, 삼성과 협업하여 금융상품 출시"
2024-05-29 10:07:00,69971,"삼성전자, 새로운 AI 기술 발표"
2024-05-29 10:08:00,70000,"삼성, 차세대 스마트폰 출시 예정"
2024-05-29 10:09:00,70048,"K뱅크, 삼성과 협업하여 금융상품 출시"
2024-05-29 10:10:00,69939,"삼성전자, 환경 보호를 위한 노력"
2024-05-29 10:11:00,69953,"삼성전자, 지속 가능한 에너지 솔루션 개발"
2024-05-29 10:12:00,70067,"삼성전자, 글로벌 시장에서의 성과"
2024-05-29 10:13:00,70007,"삼성, 새로운 반도체 기술 발표"
2024-05-29 10:14:00,70015,"삼성전자, 1분기 실적 발표"
2024-05-29 10:15:00,70000,"삼성전자, 지속 가능한 에너지 솔루션 개발"
2024-05-29 10:16:00,69949,"삼성전자, 1분기 실적 발표"
2024-05-29 10:17:00,69913,"삼성전자, 새로운 AI 기술 발표"
2024-05-29 10:18:00,70026,"삼성전자, 지속 가능한 에너지 솔루션 개발"
2024-05-29 10:19:00,69922,"삼성전자, 새로운 AI 기술 발표"
2024-05-29 10:20:00,70023,"삼성, 차세대 스마트폰 출시 예정"
2024-05-29 10:21:00,69916,"삼성, 새로운 반도체 기술 발표"
2024-05-29 10:22:00,70003,"삼성전자, 지속 가능한 에너지 솔루션 개발"
2024-05-29 10:23:00,70041,"삼성전자, 환경 보호를 위한 노력"
2024-05-29 10:24:00,69953,"삼성, 새로운 스마트홈 기기 출시"
2024-05-29 10:25:00,69929,"삼성전자, 글로벌 시장에서의 성과"
2024-05-29 10:26:00,70026,"삼성전자, 새로운 AI 기술 발표"
2024-05-29 10:27:00,70011,"삼성전자, 글로벌 시장에서의 성과"
2024-05-29 10:28:00,70058,"K뱅크, 삼성과 협업하여 금융상품 출시"
2024-05-29 10:29:00,69955,"삼성, 새로운 스마트홈 기기 출시"
2024-05-29 10:30:00,70066,"삼성전자, 지속 가능한 에너지 솔루션 개발"
2024-05-29 10:31:00,69910,"삼성전자, 환경 보호를 위한 노력"
2024-05-29 10:32:00,69969,"삼성전자, 환경 보호를 위한 노력"
2024-05-29 10:33:00,70047,"삼성, 새로운 파트너십 체결"
2024-05-29 10:34:00,69982,"삼성, 차세대 스마트폰 출시 예정"
2024-05-29 10:35:00,70057,"K뱅크, 삼성과 협업하여 금융상품 출시"
2024-05-29 10:36:00,69991,"삼성, 차세대 스마트폰 출시 예정"
2024-05-29 10:37:00,69939,"K뱅크, 삼성과 협업하여 금융상품 출시"
2024-05-29 10:38:00,70000,"K뱅크, 삼성과 협업하여 금융상품 출시"
2024-05-29 10:39:00,69936,"삼성, 새로운 반도체 기술 발표"
